fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
AIRWAY:A216,AIRWAY_PATH:A216:C,2026-05-14,AWY_BASE,2,resolved,high
AIRWAY:A220,AIRWAY_PATH:A220:C,2026-05-14,AWY_BASE,3,resolved,high
AIRWAY:A221,AIRWAY_PATH:A221:C,2026-05-14,AWY_BASE,4,resolved,high
AIRWAY:A222,AIRWAY_PATH:A222:C,2026-05-14,AWY_BASE,5,resolved,high
AIRWAY:A315,AIRWAY_PATH:A315:C,2026-05-14,AWY_BASE,6,resolved,high
AIRWAY:A331,AIRWAY_PATH:A331:C,2026-05-14,AWY_BASE,7,resolved,high
AIRWAY:A332,AIRWAY_PATH:A332:C,2026-05-14,AWY_BASE,8,resolved,high
AIRWAY:A337,AIRWAY_PATH:A337:C,2026-05-14,AWY_BASE,9,resolved,high
AIRWAY:A339,AIRWAY_PATH:A339:C,2026-05-14,AWY_BASE,10,resolved,high
AIRWAY:A342,AIRWAY_PATH:A342:A,2026-05-14,AWY_BASE,11,resolved,high
AIRWAY:A450,AIRWAY_PATH:A450:C,2026-05-14,AWY_BASE,12,resolved,high
AIRWAY:A509,AIRWAY_PATH:A509:C,2026-05-14,AWY_BASE,13,resolved,high
AIRWAY:A517,AIRWAY_PATH:A517:C,2026-05-14,AWY_BASE,14,resolved,high
AIRWAY:A554,AIRWAY_PATH:A554:C,2026-05-14,AWY_BASE,15,resolved,high
AIRWAY:A555,AIRWAY_PATH:A555:C,2026-05-14,AWY_BASE,16,resolved,high
AIRWAY:A578,AIRWAY_PATH:A578:C,2026-05-14,AWY_BASE,17,resolved,high
AIRWAY:A579,AIRWAY_PATH:A579:C,2026-05-14,AWY_BASE,18,resolved,high
AIRWAY:A590,AIRWAY_PATH:A590:A,2026-05-14,AWY_BASE,19,resolved,high
AIRWAY:A597,AIRWAY_PATH:A597:C,2026-05-14,AWY_BASE,20,resolved,high
AIRWAY:A598,AIRWAY_PATH:A598:C,2026-05-14,AWY_BASE,21,resolved,high
AIRWAY:A638,AIRWAY_PATH:A638:C,2026-05-14,AWY_BASE,22,resolved,high
AIRWAY:A699,AIRWAY_PATH:A699:C,2026-05-14,AWY_BASE,23,resolved,high
AIRWAY:A756,AIRWAY_PATH:A756:C,2026-05-14,AWY_BASE,24,resolved,high
AIRWAY:A766,AIRWAY_PATH:A766:C,2026-05-14,AWY_BASE,25,resolved,high
AIRWAY:A770,AIRWAY_PATH:A770:C,2026-05-14,AWY_BASE,26,resolved,high
