fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A216:C:10,POINT:FIX:MONPI:P,MONPI,MONPI,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,2
AWY_OCC:A216:C:20,POINT:FIX:OATSS:P,OATSS,OATSS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,3
AWY_OCC:A216:C:30,POINT:FIX:RIDLL:P,RIDLL,RIDLL,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,4
AWY_OCC:A216:C:40,POINT:FIX:LOEBB:P,LOEBB,LOEBB,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,5
AWY_OCC:A216:C:50,POINT:FIX:HOOVR:P,HOOVR,HOOVR,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,6
AWY_OCC:A216:C:60,POINT:FIX:GALEE:P,GALEE,GALEE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7
AWY_OCC:A216:C:70,POINT:FIX:FACED:P,FACED,FACED,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,8
AWY_OCC:A220:C:10,POINT:FIX:MAEVA:P,MAEVA,MAEVA,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,9
AWY_OCC:A220:C:20,POINT:FIX:CRONN:P,CRONN,CRONN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,10
AWY_OCC:A220:C:30,POINT:FIX:BINGE:P,BINGE,BINGE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,11
AWY_OCC:A220:C:40,POINT:FIX:AHNDO:P,AHNDO,AHNDO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,12
AWY_OCC:A220:C:50,POINT:FIX:MANEY:P,MANEY,MANEY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,13
AWY_OCC:A220:C:60,POINT:FIX:MAFIC:P,MAFIC,MAFIC,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,14
AWY_OCC:A220:C:70,POINT:FIX:CINNY:P,CINNY,CINNY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,15
AWY_OCC:A221:C:10,POINT:FIX:CULPS:P,CULPS,CULPS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,16
AWY_OCC:A221:C:20,POINT:FIX:ERTTS:PG,ERTTS,ERTTS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,17
AWY_OCC:A221:C:30,POINT:FIX:MONIE:P,MONIE,MONIE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,18
AWY_OCC:A221:C:40,POINT:FIX:LULJY:P,LULJY,LULJY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,19
AWY_OCC:A221:C:50,POINT:FIX:HEXUG:P,HEXUG,HEXUG,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,20
AWY_OCC:A221:C:60,POINT:FIX:WILLE:P,WILLE,WILLE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,21
AWY_OCC:A222:C:10,POINT:NAVAID:UNZ:VORTAC:US:GU:AGANA,UNZ,UNZ,navaid_id_type_country_state,resolved_navaid,high,2026-05-14,AWY_SEG_ALT,22
AWY_OCC:A222:C:20,POINT:FIX:CLANS:P,CLANS,CLANS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,23
AWY_OCC:A222:C:30,POINT:FIX:AXIDE:P,AXIDE,AXIDE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,24
AWY_OCC:A222:C:40,POINT:FIX:FIBSS:P,FIBSS,FIBSS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,25
AWY_OCC:A222:C:50,POINT:FIX:KRONK:P,KRONK,KRONK,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,26
AWY_OCC:A222:C:60,POINT:FIX:ADUFO:P,ADUFO,ADUFO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,27
AWY_OCC:A222:C:70,POINT:NAVAID:PNI:NDB/DME:FM::POHNPEI_ISLAND,PNI,PNI,unique_id_fallback,resolved_navaid,medium,2026-05-14,AWY_SEG_ALT,28
AWY_OCC:A222:C:80,POINT:FIX:AXTEN:P,AXTEN,AXTEN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,29
AWY_OCC:A222:C:90,POINT:NAVAID:UKS:NDB/DME:FM::KOSRAE_ISLAND,UKS,UKS,unique_id_fallback,resolved_navaid,medium,2026-05-14,AWY_SEG_ALT,30
AWY_OCC:A222:C:100,POINT:FIX:STEFF:P,STEFF,STEFF,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,31
AWY_OCC:A222:C:110,POINT:FIX:RASON:P,RASON,RASON,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,32
AWY_OCC:A315:C:10,POINT:NAVAID:ZBV:VOR/DME:BS::BIMINI,ZBV,ZBV,navaid_id_type_country_state,resolved_navaid,high,2026-05-14,AWY_SEG_ALT,33
AWY_OCC:A315:C:20,POINT:FIX:SWIMM:K7,SWIMM,SWIMM,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,34
AWY_OCC:A315:C:30,POINT:FIX:TINKY:K,TINKY,TINKY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,35
AWY_OCC:A315:C:40,POINT:FIX:PEKRE:MY,PEKRE,PEKRE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,36
AWY_OCC:A315:C:50,POINT:FIX:JAYEE:MY,JAYEE,JAYEE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,37
AWY_OCC:A315:C:60,POINT:FIX:HODGY:MY,HODGY,HODGY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,38
AWY_OCC:A315:C:70,POINT:FIX:AMBIS:MY,AMBIS,AMBIS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,39
AWY_OCC:A315:C:80,POINT:FIX:DUNNO:K7,DUNNO,DUNNO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,40
AWY_OCC:A315:C:90,POINT:FIX:ACMEE:K,ACMEE,ACMEE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,41
AWY_OCC:A315:C:100,POINT:FIX:KNSLY:K,KNSLY,KNSLY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,42
AWY_OCC:A315:C:110,POINT:FIX:JOSES:K,JOSES,JOSES,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,43
AWY_OCC:A331:C:10,POINT:FIX:ZIGIE:P,ZIGIE,ZIGIE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,44
AWY_OCC:A331:C:20,POINT:FIX:ZOULU:P,ZOULU,ZOULU,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,45
AWY_OCC:A331:C:30,POINT:FIX:ZEMOM:P,ZEMOM,ZEMOM,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,46
AWY_OCC:A331:C:40,POINT:FIX:ZINNO:P,ZINNO,ZINNO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,47
AWY_OCC:A331:C:50,POINT:FIX:ZAGER:P,ZAGER,ZAGER,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,48
AWY_OCC:A331:C:60,POINT:FIX:ZANNG:P,ZANNG,ZANNG,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,49
AWY_OCC:A331:C:70,POINT:FIX:SEDAR:P,SEDAR,SEDAR,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,50
AWY_OCC:A332:C:10,POINT:FIX:AUNTI:P,AUNTI,AUNTI,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,51
AWY_OCC:A332:C:20,POINT:FIX:HALLI:P,HALLI,HALLI,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,52
AWY_OCC:A332:C:30,POINT:FIX:HELOP:P,HELOP,HELOP,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,53
AWY_OCC:A332:C:40,POINT:FIX:HEKAB:P,HEKAB,HEKAB,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,54
AWY_OCC:A332:C:50,POINT:FIX:HEMLO:P,HEMLO,HEMLO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,55
