fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
AIRWAY_PATH:A216:C,AWY_OCC:A216:C:10,2026-05-14,AWY_SEG_ALT,2,resolved,high
AIRWAY_PATH:A216:C,AWY_OCC:A216:C:20,2026-05-14,AWY_SEG_ALT,3,resolved,high
AIRWAY_PATH:A216:C,AWY_OCC:A216:C:30,2026-05-14,AWY_SEG_ALT,4,resolved,high
AIRWAY_PATH:A216:C,AWY_OCC:A216:C:40,2026-05-14,AWY_SEG_ALT,5,resolved,high
AIRWAY_PATH:A216:C,AWY_OCC:A216:C:50,2026-05-14,AWY_SEG_ALT,6,resolved,high
AIRWAY_PATH:A216:C,AWY_OCC:A216:C:60,2026-05-14,AWY_SEG_ALT,7,resolved,high
AIRWAY_PATH:A216:C,AWY_OCC:A216:C:70,2026-05-14,AWY_SEG_ALT,8,resolved,high
AIRWAY_PATH:A220:C,AWY_OCC:A220:C:10,2026-05-14,AWY_SEG_ALT,9,resolved,high
AIRWAY_PATH:A220:C,AWY_OCC:A220:C:20,2026-05-14,AWY_SEG_ALT,10,resolved,high
AIRWAY_PATH:A220:C,AWY_OCC:A220:C:30,2026-05-14,AWY_SEG_ALT,11,resolved,high
AIRWAY_PATH:A220:C,AWY_OCC:A220:C:40,2026-05-14,AWY_SEG_ALT,12,resolved,high
AIRWAY_PATH:A220:C,AWY_OCC:A220:C:50,2026-05-14,AWY_SEG_ALT,13,resolved,high
AIRWAY_PATH:A220:C,AWY_OCC:A220:C:60,2026-05-14,AWY_SEG_ALT,14,resolved,high
AIRWAY_PATH:A220:C,AWY_OCC:A220:C:70,2026-05-14,AWY_SEG_ALT,15,resolved,high
AIRWAY_PATH:A221:C,AWY_OCC:A221:C:10,2026-05-14,AWY_SEG_ALT,16,resolved,high
AIRWAY_PATH:A221:C,AWY_OCC:A221:C:20,2026-05-14,AWY_SEG_ALT,17,resolved,high
AIRWAY_PATH:A221:C,AWY_OCC:A221:C:30,2026-05-14,AWY_SEG_ALT,18,resolved,high
AIRWAY_PATH:A221:C,AWY_OCC:A221:C:40,2026-05-14,AWY_SEG_ALT,19,resolved,high
AIRWAY_PATH:A221:C,AWY_OCC:A221:C:50,2026-05-14,AWY_SEG_ALT,20,resolved,high
AIRWAY_PATH:A221:C,AWY_OCC:A221:C:60,2026-05-14,AWY_SEG_ALT,21,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:10,2026-05-14,AWY_SEG_ALT,22,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:20,2026-05-14,AWY_SEG_ALT,23,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:30,2026-05-14,AWY_SEG_ALT,24,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:40,2026-05-14,AWY_SEG_ALT,25,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:50,2026-05-14,AWY_SEG_ALT,26,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:60,2026-05-14,AWY_SEG_ALT,27,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:70,2026-05-14,AWY_SEG_ALT,28,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:80,2026-05-14,AWY_SEG_ALT,29,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:90,2026-05-14,AWY_SEG_ALT,30,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:100,2026-05-14,AWY_SEG_ALT,31,resolved,high
AIRWAY_PATH:A222:C,AWY_OCC:A222:C:110,2026-05-14,AWY_SEG_ALT,32,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:10,2026-05-14,AWY_SEG_ALT,33,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:20,2026-05-14,AWY_SEG_ALT,34,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:30,2026-05-14,AWY_SEG_ALT,35,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:40,2026-05-14,AWY_SEG_ALT,36,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:50,2026-05-14,AWY_SEG_ALT,37,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:60,2026-05-14,AWY_SEG_ALT,38,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:70,2026-05-14,AWY_SEG_ALT,39,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:80,2026-05-14,AWY_SEG_ALT,40,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:90,2026-05-14,AWY_SEG_ALT,41,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:100,2026-05-14,AWY_SEG_ALT,42,resolved,high
AIRWAY_PATH:A315:C,AWY_OCC:A315:C:110,2026-05-14,AWY_SEG_ALT,43,resolved,high
AIRWAY_PATH:A331:C,AWY_OCC:A331:C:10,2026-05-14,AWY_SEG_ALT,44,resolved,high
AIRWAY_PATH:A331:C,AWY_OCC:A331:C:20,2026-05-14,AWY_SEG_ALT,45,resolved,high
AIRWAY_PATH:A331:C,AWY_OCC:A331:C:30,2026-05-14,AWY_SEG_ALT,46,resolved,high
