fromKey,toKey,magCourse,oppositeMagCourse,distanceNm,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,minObstacleClearanceAltFt,minCrossingAltFt,minReceptionAltFt,maxAuthorizedAltFt,requiredNavPerformance,gapFlag,signalGapFlag,dogleg,artcc,stateCode,countryCode,icaoRegionCode,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A216:C:10,AWY_OCC:A216:C:20,163.39,342.23,269.2,18000,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,2
AWY_OCC:A216:C:20,AWY_OCC:A216:C:30,161.79,341.59,43.21,18000,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,3
AWY_OCC:A216:C:30,AWY_OCC:A216:C:40,177.2,356.13,229.1,18000,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,4
AWY_OCC:A216:C:40,AWY_OCC:A216:C:50,176.13,355.51,139.29,18000,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,5
AWY_OCC:A216:C:50,AWY_OCC:A216:C:60,170.17,348.93,297.19,18000,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,6
AWY_OCC:A216:C:60,AWY_OCC:A216:C:70,173.5,352.4,299.42,18000,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,7
AWY_OCC:A220:C:10,AWY_OCC:A220:C:20,14.03,194.29,341.03,5500,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,9
AWY_OCC:A220:C:20,AWY_OCC:A220:C:30,14.29,194.41,504.35,5500,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,10
AWY_OCC:A220:C:30,AWY_OCC:A220:C:40,14.89,195.05,524.93,5500,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,11
AWY_OCC:A220:C:40,AWY_OCC:A220:C:50,13.59,194.16,498.05,5500,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,12
AWY_OCC:A220:C:50,AWY_OCC:A220:C:60,14.17,194.88,255.06,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,13
AWY_OCC:A220:C:60,AWY_OCC:A220:C:70,15.97,196.09,30.15,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,14
AWY_OCC:A221:C:10,AWY_OCC:A221:C:20,21.84,201.89,11,1500,,,,,,60000,,N,N,N,ZAK,MP,US,P,2026-05-14,AWY_SEG_ALT,16
AWY_OCC:A221:C:20,AWY_OCC:A221:C:30,21.89,201.94,13,1500,,,,,,60000,,N,N,N,ZUA,GU,US,PG,2026-05-14,AWY_SEG_ALT,17
AWY_OCC:A221:C:30,AWY_OCC:A221:C:40,21.94,202.06,28,6000,,,,,,60000,,N,N,N,ZAK,MP,US,P,2026-05-14,AWY_SEG_ALT,18
AWY_OCC:A221:C:40,AWY_OCC:A221:C:50,22.03,202.05,3,6000,,,,,,60000,,N,N,N,ZAK,MP,US,P,2026-05-14,AWY_SEG_ALT,19
AWY_OCC:A221:C:50,AWY_OCC:A221:C:60,22.07,202.1,7.97,6000,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,20
