fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:57C:08/26:08,2026-05-14,DP_APT,2,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:57C:08/26:26,2026-05-14,DP_APT,3,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:BUU:11/29:11,2026-05-14,DP_APT,4,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:BUU:11/29:29,2026-05-14,DP_APT,5,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:HXF:09/27:09,2026-05-14,DP_APT,8,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:HXF:09/27:27,2026-05-14,DP_APT,9,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:01L/19R:01L,2026-05-14,DP_APT,10,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:01R/19L:01R,2026-05-14,DP_APT,11,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:07L/25R:07L,2026-05-14,DP_APT,12,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:07R/25L:07R,2026-05-14,DP_APT,13,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:13/31:13,2026-05-14,DP_APT,14,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:01R/19L:19L,2026-05-14,DP_APT,15,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:01L/19R:19R,2026-05-14,DP_APT,16,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:07R/25L:25L,2026-05-14,DP_APT,17,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:07L/25R:25R,2026-05-14,DP_APT,18,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MKE:13/31:31,2026-05-14,DP_APT,19,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MWC:04L/22R:04L,2026-05-14,DP_APT,20,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MWC:15L/33R:15L,2026-05-14,DP_APT,21,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MWC:04L/22R:22R,2026-05-14,DP_APT,22,resolved,high
PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,RWYEND:MWC:15L/33R:33R,2026-05-14,DP_APT,23,resolved,high
PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:BODY:ACONY-PALDE:1:,RWYEND:SJU:08/26:08,2026-05-14,DP_APT,26,resolved,high
PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:BODY:ACONY-PALDE:1:,RWYEND:SJU:10/28:10,2026-05-14,DP_APT,27,resolved,high
PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:BODY:ACONY-PALDE:1:,RWYEND:SJU:08/26:26,2026-05-14,DP_APT,28,resolved,high
PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:BODY:ACONY-PALDE:1:,RWYEND:SJU:10/28:28,2026-05-14,DP_APT,29,resolved,high
PROC_PATH:PROCEDURE:DP:ADAMM3.ADAMM:BODY:ADAMM:1:,RWYEND:VNY:16L/34R:16L,2026-05-14,DP_APT,30,resolved,high
PROC_PATH:PROCEDURE:DP:ADAMM3.ADAMM:BODY:ADAMM:1:,RWYEND:VNY:16R/34L:16R,2026-05-14,DP_APT,31,resolved,high
PROC_PATH:PROCEDURE:DP:ADAMM3.ADAMM:BODY:ADAMM:1:,RWYEND:VNY:16R/34L:34L,2026-05-14,DP_APT,32,resolved,high
PROC_PATH:PROCEDURE:DP:ADAMM3.ADAMM:BODY:ADAMM:1:,RWYEND:VNY:16L/34R:34R,2026-05-14,DP_APT,33,resolved,high
PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,RWYEND:ARR:09/27:09,2026-05-14,DP_APT,34,resolved,high
PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,RWYEND:ARR:15/33:15,2026-05-14,DP_APT,35,resolved,high
PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,RWYEND:ARR:18/36:18,2026-05-14,DP_APT,36,resolved,high
