airwayOccurrenceKey,airwayPathKey,awyId,awyLocation,pointSeq,rawFromPoint,rawFromPointType,rawToPoint,rawNextMeaPoint,resolvedPointKey,resolveStatus,occurrenceRole,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A216:C:10,AIRWAY_PATH:A216:C,A216,C,10,MONPI,WP,OATSS,OATSS,POINT:FIX:MONPI:P,resolved_fix,START,2026-05-14,AWY_SEG_ALT,2
AWY_OCC:A216:C:20,AIRWAY_PATH:A216:C,A216,C,20,OATSS,WP,RIDLL,RIDLL,POINT:FIX:OATSS:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,3
AWY_OCC:A216:C:30,AIRWAY_PATH:A216:C,A216,C,30,RIDLL,WP,LOEBB,LOEBB,POINT:FIX:RIDLL:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,4
AWY_OCC:A216:C:40,AIRWAY_PATH:A216:C,A216,C,40,LOEBB,WP,HOOVR,HOOVR,POINT:FIX:LOEBB:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,5
AWY_OCC:A216:C:50,AIRWAY_PATH:A216:C,A216,C,50,HOOVR,WP,GALEE,GALEE,POINT:FIX:HOOVR:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,6
AWY_OCC:A216:C:60,AIRWAY_PATH:A216:C,A216,C,60,GALEE,WP,FACED,FACED,POINT:FIX:GALEE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,7
AWY_OCC:A216:C:70,AIRWAY_PATH:A216:C,A216,C,70,FACED,WP,,,POINT:FIX:FACED:P,resolved_fix,END,2026-05-14,AWY_SEG_ALT,8
AWY_OCC:A220:C:10,AIRWAY_PATH:A220:C,A220,C,10,MAEVA,WP,CRONN,CRONN,POINT:FIX:MAEVA:P,resolved_fix,START,2026-05-14,AWY_SEG_ALT,9
AWY_OCC:A220:C:20,AIRWAY_PATH:A220:C,A220,C,20,CRONN,WP,BINGE,BINGE,POINT:FIX:CRONN:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,10
AWY_OCC:A220:C:30,AIRWAY_PATH:A220:C,A220,C,30,BINGE,WP,AHNDO,AHNDO,POINT:FIX:BINGE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,11
AWY_OCC:A220:C:40,AIRWAY_PATH:A220:C,A220,C,40,AHNDO,WP,MANEY,MANEY,POINT:FIX:AHNDO:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,12
AWY_OCC:A220:C:50,AIRWAY_PATH:A220:C,A220,C,50,MANEY,WP,MAFIC,MAFIC,POINT:FIX:MANEY:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,13
AWY_OCC:A220:C:60,AIRWAY_PATH:A220:C,A220,C,60,MAFIC,WP,CINNY,CINNY,POINT:FIX:MAFIC:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,14
AWY_OCC:A220:C:70,AIRWAY_PATH:A220:C,A220,C,70,CINNY,WP,,,POINT:FIX:CINNY:P,resolved_fix,END,2026-05-14,AWY_SEG_ALT,15
AWY_OCC:A221:C:10,AIRWAY_PATH:A221:C,A221,C,10,CULPS,RP,ERTTS,ERTTS,POINT:FIX:CULPS:P,resolved_fix,START,2026-05-14,AWY_SEG_ALT,16
AWY_OCC:A221:C:20,AIRWAY_PATH:A221:C,A221,C,20,ERTTS,RP,MONIE,MONIE,POINT:FIX:ERTTS:PG,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,17
AWY_OCC:A221:C:30,AIRWAY_PATH:A221:C,A221,C,30,MONIE,RP,LULJY,LULJY,POINT:FIX:MONIE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,18
AWY_OCC:A221:C:40,AIRWAY_PATH:A221:C,A221,C,40,LULJY,RP,HEXUG,HEXUG,POINT:FIX:LULJY:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,19
AWY_OCC:A221:C:50,AIRWAY_PATH:A221:C,A221,C,50,HEXUG,RP,WILLE,WILLE,POINT:FIX:HEXUG:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,20
AWY_OCC:A221:C:60,AIRWAY_PATH:A221:C,A221,C,60,WILLE,RP,,,POINT:FIX:WILLE:P,resolved_fix,END,2026-05-14,AWY_SEG_ALT,21
AWY_OCC:A222:C:10,AIRWAY_PATH:A222:C,A222,C,10,UNZ,VORTAC,CLANS,CLANS,POINT:NAVAID:UNZ:VORTAC:US:GU:AGANA,resolved_navaid,START,2026-05-14,AWY_SEG_ALT,22
AWY_OCC:A222:C:20,AIRWAY_PATH:A222:C,A222,C,20,CLANS,WP,AXIDE,AXIDE,POINT:FIX:CLANS:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,23
AWY_OCC:A222:C:30,AIRWAY_PATH:A222:C,A222,C,30,AXIDE,WP,FIBSS,FIBSS,POINT:FIX:AXIDE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,24
AWY_OCC:A222:C:40,AIRWAY_PATH:A222:C,A222,C,40,FIBSS,WP,KRONK,KRONK,POINT:FIX:FIBSS:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,25
AWY_OCC:A222:C:50,AIRWAY_PATH:A222:C,A222,C,50,KRONK,WP,ADUFO,ADUFO,POINT:FIX:KRONK:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,26
AWY_OCC:A222:C:60,AIRWAY_PATH:A222:C,A222,C,60,ADUFO,RP,PNI,PNI,POINT:FIX:ADUFO:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,27
AWY_OCC:A222:C:70,AIRWAY_PATH:A222:C,A222,C,70,PNI,NDB/DME,AXTEN,AXTEN,POINT:NAVAID:PNI:NDB/DME:FM::POHNPEI_ISLAND,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,28
AWY_OCC:A222:C:80,AIRWAY_PATH:A222:C,A222,C,80,AXTEN,WP,UKS,UKS,POINT:FIX:AXTEN:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,29
AWY_OCC:A222:C:90,AIRWAY_PATH:A222:C,A222,C,90,UKS,NDB/DME,STEFF,STEFF,POINT:NAVAID:UKS:NDB/DME:FM::KOSRAE_ISLAND,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,30
