airwayPathKey,airwayKey,awyId,awyLocation,awyDesignation,airwayString,sourceCycle,sourceTable,sourceRowId
AIRWAY_PATH:A216:C,AIRWAY:A216,A216,C,PA,MONPI OATSS RIDLL LOEBB HOOVR GALEE FACED,2026-05-14,AWY_BASE,2
AIRWAY_PATH:A220:C,AIRWAY:A220,A220,C,PA,MAEVA CRONN BINGE AHNDO MANEY MAFIC CINNY,2026-05-14,AWY_BASE,3
AIRWAY_PATH:A221:C,AIRWAY:A221,A221,C,PA,CULPS ERTTS MONIE LULJY HEXUG WILLE,2026-05-14,AWY_BASE,4
AIRWAY_PATH:A222:C,AIRWAY:A222,A222,C,PA,UNZ CLANS AXIDE FIBSS KRONK ADUFO PNI AXTEN UKS STEFF RASON,2026-05-14,AWY_BASE,5
AIRWAY_PATH:A315:C,AIRWAY:A315,A315,C,AT,ZBV SWIMM TINKY PEKRE JAYEE HODGY AMBIS DUNNO ACMEE KNSLY JOSES,2026-05-14,AWY_BASE,6
AIRWAY_PATH:A331:C,AIRWAY:A331,A331,C,PA,ZIGIE ZOULU ZEMOM ZINNO ZAGER ZANNG SEDAR,2026-05-14,AWY_BASE,7
AIRWAY_PATH:A332:C,AIRWAY:A332,A332,C,PA,AUNTI HALLI HELOP HEKAB HEMLO,2026-05-14,AWY_BASE,8
AIRWAY_PATH:A337:C,AIRWAY:A337,A337,C,PA,JUNIE AXIDE FONUG SNAPP TEEDE TEGOD,2026-05-14,AWY_BASE,9
AIRWAY_PATH:A339:C,AIRWAY:A339,A339,C,PA,SHREE WRNNR TILLY KEITH,2026-05-14,AWY_BASE,10
AIRWAY_PATH:A342:A,AIRWAY:A342,A342,A,PA,NUZAN OPAKE PINSO AMOND DRAPP CRYPT CDB,2026-05-14,AWY_BASE,11
AIRWAY_PATH:A450:C,AIRWAY:A450,A450,C,PA,CAHYO TNUGE PIGFA LOEBB BUCAT UNZ BAGBE HOPPY FONUG STINE DEWSS JIMOS NGUEN NATIE RESEE SYSTA BRIUN HOOPA KATHS,2026-05-14,AWY_BASE,12
AIRWAY_PATH:A509:C,AIRWAY:A509,A509,C,AT,URSUS ELLEE EONNS JURER DHP MARCI,2026-05-14,AWY_BASE,13
AIRWAY_PATH:A517:C,AIRWAY:A517,A517,C,AT,ZPATA PJM,2026-05-14,AWY_BASE,14
AIRWAY_PATH:A554:C,AIRWAY:A554,A554,C,AT,LAMER RODRK CERDA EYSEL NETTA GTK TAANA SEKAR,2026-05-14,AWY_BASE,15
AIRWAY_PATH:A555:C,AIRWAY:A555,A555,C,AT,ILURI PORQE COY VEDAS TUUNA DDP IDAHO HARDE GRADI KARRN SEBUG COCBU GTK MAYAG RATTL EGANN MICAS BTLER GUANA INDEE DUKKY GEROT DONEZ BOSAR LEPAS ZQA HINZY PRUNE RAJAY ZBV,2026-05-14,AWY_BASE,16
AIRWAY_PATH:A578:C,AIRWAY:A578,A578,C,PA,PNI AFOYU FENSE,2026-05-14,AWY_BASE,17
AIRWAY_PATH:A579:C,AIRWAY:A579,A579,C,PA,CARRP CHEEM CROBY CEBUR CUFFY,2026-05-14,AWY_BASE,18
AIRWAY_PATH:A590:A,AIRWAY:A590,A590,A,PA,PASRO POWAL PLADO PINSO POOFF PINTT PTZGR PUGGY POETT SELDM PORGE HAMND,2026-05-14,AWY_BASE,19
AIRWAY_PATH:A597:C,AIRWAY:A597,A597,C,PA,ADBON OKOLE GALSS JUNIE OPLAR GUMGE UNZ WUVEN REEDE RICHH MONPI,2026-05-14,AWY_BASE,20
AIRWAY_PATH:A598:C,AIRWAY:A598,A598,C,PA,MARTI MAJ,2026-05-14,AWY_BASE,21
AIRWAY_PATH:A638:C,AIRWAY:A638,A638,C,AT,STT GUYRO SLUGO PJM,2026-05-14,AWY_BASE,22
AIRWAY_PATH:A699:C,AIRWAY:A699,A699,C,AT,SUMRS LOUIZ HOOKY NUCAR STIFF RAMJT PERMT PBI,2026-05-14,AWY_BASE,23
AIRWAY_PATH:A756:C,AIRWAY:A756,A756,C,AT,BODLO KNSLY ROSEA DUKKY,2026-05-14,AWY_BASE,24
AIRWAY_PATH:A766:C,AIRWAY:A766,A766,C,AT,SBI LAURL KLAMS KENGS KELPP KEHLI,2026-05-14,AWY_BASE,25
AIRWAY_PATH:A770:C,AIRWAY:A770,A770,C,AT,LEV DOLPH ALGAE KEHLI,2026-05-14,AWY_BASE,26
AIRWAY_PATH:AR10:C,AIRWAY:AR10,AR10,C,AT,DHP TURBO PREDA ZAPPA,2026-05-14,AWY_BASE,27
AIRWAY_PATH:AR11:C,AIRWAY:AR11,AR11,C,AT,VKZ JANUS VALLY,2026-05-14,AWY_BASE,28
AIRWAY_PATH:AR12:C,AIRWAY:AR12,AR12,C,AT,DEDDY PITRW SNNTA OGGRE EBEAR DIZNY RROOO HARON JAINS,2026-05-14,AWY_BASE,29
