airwayKey,awyId,awyDesignation,regulatory,remark,airwayString,updateDate,sourceCycle,sourceTable,sourceRowId
AIRWAY:A216,A216,PA,N,,MONPI OATSS RIDLL LOEBB HOOVR GALEE FACED,2014/06/02,2026-05-14,AWY_BASE,2
AIRWAY:A220,A220,PA,N,,MAEVA CRONN BINGE AHNDO MANEY MAFIC CINNY,2014/08/13,2026-05-14,AWY_BASE,3
AIRWAY:A221,A221,PA,N,,CULPS ERTTS MONIE LULJY HEXUG WILLE,2021/06/14,2026-05-14,AWY_BASE,4
AIRWAY:A222,A222,PA,N,,UNZ CLANS AXIDE FIBSS KRONK ADUFO PNI AXTEN UKS STEFF RASON,2024/05/22,2026-05-14,AWY_BASE,5
AIRWAY:A315,A315,AT,N,,ZBV SWIMM TINKY PEKRE JAYEE HODGY AMBIS DUNNO ACMEE KNSLY JOSES,2024/09/06,2026-05-14,AWY_BASE,6
AIRWAY:A331,A331,PA,N,,ZIGIE ZOULU ZEMOM ZINNO ZAGER ZANNG SEDAR,2014/06/10,2026-05-14,AWY_BASE,7
AIRWAY:A332,A332,PA,N,,AUNTI HALLI HELOP HEKAB HEMLO,2014/06/02,2026-05-14,AWY_BASE,8
AIRWAY:A337,A337,PA,N,,JUNIE AXIDE FONUG SNAPP TEEDE TEGOD,2014/06/02,2026-05-14,AWY_BASE,9
AIRWAY:A339,A339,PA,N,,SHREE WRNNR TILLY KEITH,2014/06/02,2026-05-14,AWY_BASE,10
AIRWAY:A342,A342,PA,N,,NUZAN OPAKE PINSO AMOND DRAPP CRYPT CDB,2021/10/04,2026-05-14,AWY_BASE,11
AIRWAY:A450,A450,PA,N,,CAHYO TNUGE PIGFA LOEBB BUCAT UNZ BAGBE HOPPY FONUG STINE DEWSS JIMOS NGUEN NATIE RESEE SYSTA BRIUN HOOPA KATHS,2015/03/24,2026-05-14,AWY_BASE,12
AIRWAY:A509,A509,AT,N,,URSUS ELLEE EONNS JURER DHP MARCI,2024/05/14,2026-05-14,AWY_BASE,13
AIRWAY:A517,A517,AT,N,,ZPATA PJM,2018/11/02,2026-05-14,AWY_BASE,14
AIRWAY:A554,A554,AT,N,,LAMER RODRK CERDA EYSEL NETTA GTK TAANA SEKAR,2017/05/01,2026-05-14,AWY_BASE,15
AIRWAY:A555,A555,AT,N,,ILURI PORQE COY VEDAS TUUNA DDP IDAHO HARDE GRADI KARRN SEBUG COCBU GTK MAYAG RATTL EGANN MICAS BTLER GUANA INDEE DUKKY GEROT DONEZ BOSAR LEPAS ZQA HINZY PRUNE RAJAY ZBV,2024/09/06,2026-05-14,AWY_BASE,16
AIRWAY:A578,A578,PA,N,,PNI AFOYU FENSE,2017/03/06,2026-05-14,AWY_BASE,17
AIRWAY:A579,A579,PA,N,,CARRP CHEEM CROBY CEBUR CUFFY,2022/03/17,2026-05-14,AWY_BASE,18
