procedureKey,procedureType,procedureName,computerCode,amendmentNo,artcc,effectiveDate,rnavFlag,servedAirportRaw,graphicalType,sourceCycle,sourceTable,sourceRowId
PROCEDURE:DP:ACCRA5.ACCRA,DP,ACCRA,ACCRA5.ACCRA,FIVE,ZAU,2020/03/26,Y,57C BUU ENW ETB HXF MKE MWC RAC UES,SID,2026-05-14,DP_BASE,2
PROCEDURE:DP:ACONY3.ACONY,DP,ACONY,ACONY3.ACONY,THREE,ZSU,2019/01/03,Y,SJU,SID,2026-05-14,DP_BASE,3
PROCEDURE:DP:ADAMM3.ADAMM,DP,ADAMM,ADAMM3.ADAMM,THREE,ZLA,2020/01/30,N,VNY,SID,2026-05-14,DP_BASE,4
PROCEDURE:DP:ADELL8.ADELL,DP,ADELL,ADELL8.ADELL,EIGHT,ZAU,2026/02/19,Y,ARR DPA GYY LOT,SID,2026-05-14,DP_BASE,5
PROCEDURE:DP:ADEXE1.ADEXE,DP,ADEXE,ADEXE1.ADEXE,ONE,ZLC,2017/10/12,Y,MAN,OBSTACLE,2026-05-14,DP_BASE,6
PROCEDURE:DP:ADIBE1.ADIBE,DP,ADIBE,ADIBE1.ADIBE,ONE,ZLC,2024/07/11,Y,U34,OBSTACLE,2026-05-14,DP_BASE,7
PROCEDURE:DP:ADYOS3.ADYOS,DP,ADYOS,ADYOS3.ADYOS,THREE,ZAB,2015/06/25,Y,ABQ,SID,2026-05-14,DP_BASE,8
PROCEDURE:DP:AEROZ2.AEROZ,DP,AEROZ,AEROZ2.AEROZ,TWO,ZHU,2021/04/22,Y,3R9 AUS EDC GTU HYI RYW T74,SID,2026-05-14,DP_BASE,9
PROCEDURE:DP:AFTON4.GIGSE,DP,AFTON,AFTON4.GIGSE,FOUR,ZLC,2018/07/19,Y,AFO,OBSTACLE,2026-05-14,DP_BASE,10
PROCEDURE:DP:AGERS1.AGERS,DP,AGERS,AGERS1.AGERS,ONE,ZMA,2022/05/19,Y,FLL,SID,2026-05-14,DP_BASE,11
PROCEDURE:DP:AHABB1.AHABB,DP,AHABB,AHABB1.AHABB,ONE,ZMA,2026/01/22,Y,PBI,OBSTACLE,2026-05-14,DP_BASE,12
PROCEDURE:DP:AHEHU3.AHEHU,DP,AHEHU,AHEHU3.AHEHU,THREE,ZLC,2016/03/31,Y,SMN,SID,2026-05-14,DP_BASE,13
PROCEDURE:DP:AHMET5.KKIDS,DP,AHMET,AHMET5.KKIDS,FIVE,ZOB,2025/11/27,Y,BKL CGF LNN LPR,SID,2026-05-14,DP_BASE,14
PROCEDURE:DP:AJOFY1.AJOFY,DP,AJOFY,AJOFY1.AJOFY,ONE,ZAN,2021/12/02,Y,CJX,OBSTACLE,2026-05-14,DP_BASE,15
PROCEDURE:DP:AKIAK1.BET,DP,AKIAK,AKIAK1.BET,ONE,ZAN,2009/08/27,Y,AKI,OBSTACLE,2026-05-14,DP_BASE,16
PROCEDURE:DP:AKUMY5.AKUMY,DP,AKUMY,AKUMY5.AKUMY,FIVE,ZAN,2023/08/10,Y,AKP,OBSTACLE,2026-05-14,DP_BASE,17
PROCEDURE:DP:AKUNA9.AKUNA,DP,AKUNA,AKUNA9.AKUNA,NINE,ZFW,2020/11/05,Y,DFW,SID,2026-05-14,DP_BASE,18
PROCEDURE:DP:ALAMO5.ALAMO,DP,ALAMO,ALAMO5.ALAMO,FIVE,ZHU,2025/08/07,N,SAT SSF,SID,2026-05-14,DP_BASE,19
PROCEDURE:DP:ALB7.ALB,DP,ALBANY,ALB7.ALB,SEVEN,ZBW,2018/07/19,N,ALB,SID,2026-05-14,DP_BASE,20
PROCEDURE:DP:ABQ3.ABQ,DP,ALBUQUERQUE,ABQ3.ABQ,THREE,ZAB,2017/10/12,N,ABQ,SID,2026-05-14,DP_BASE,21
PROCEDURE:DP:ALCOS6.ALCOS,DP,ALCOS,ALCOS6.ALCOS,SIX,ZDV,2016/07/21,N,CPR,SID,2026-05-14,DP_BASE,22
PROCEDURE:DP:AEX3.AEX,DP,ALEXANDRIA,AEX3.AEX,THREE,ZHU,2021/10/07,N,AXH CXO DWH EFD GLS HOU IAH IWS LBX SGR T41 TME,SID,2026-05-14,DP_BASE,23
PROCEDURE:DP:ALIAN2.ALIAN,DP,ALIAN,ALIAN2.ALIAN,TWO,ZFW,2016/02/04,Y,DFW,SID,2026-05-14,DP_BASE,24
PROCEDURE:DP:ALICO7.ALICO,DP,ALICO,ALICO7.ALICO,SEVEN,ZMA,2020/12/31,N,RSW,SID,2026-05-14,DP_BASE,25
