fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
PROCEDURE:DP:1U71.LUNDI,PROC_PATH:PROCEDURE:DP:1U71.LUNDI:BODY:PAPIE:1:,2026-05-14,DP_RTE,601,resolved,high
PROCEDURE:DP:77S2.EUG,PROC_PATH:PROCEDURE:DP:77S2.EUG:BODY:EUG:1:,2026-05-14,DP_RTE,4564,resolved,high
PROCEDURE:DP:ACCRA5.ACCRA,PROC_PATH:PROCEDURE:DP:ACCRA5.ACCRA:BODY:FANZI-ACCRA:1:,2026-05-14,DP_RTE,7,resolved,high
PROCEDURE:DP:ACONY3.ACONY,PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:BODY:ACONY-PALDE:1:,2026-05-14,DP_RTE,9,resolved,high
PROCEDURE:DP:ACONY3.ACONY,PROC_PATH:PROCEDURE:DP:ACONY3.ACONY:TRANSITION:SAPPO_TRANSITION:1:ACONY3.SAPPO,2026-05-14,DP_RTE,11,resolved,high
PROCEDURE:DP:ADAMM3.ADAMM,PROC_PATH:PROCEDURE:DP:ADAMM3.ADAMM:BODY:ADAMM:1:,2026-05-14,DP_RTE,12,resolved,high
PROCEDURE:DP:ADELL8.ADELL,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:BODY:ACITO-ADELL:1:,2026-05-14,DP_RTE,14,resolved,high
PROCEDURE:DP:ADELL8.ADELL,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:TRANSITION:AKMIE_TRANSITION:1:ADELL8.AKMIE,2026-05-14,DP_RTE,16,resolved,high
PROCEDURE:DP:ADELL8.ADELL,PROC_PATH:PROCEDURE:DP:ADELL8.ADELL:TRANSITION:ARLYN_TRANSITION:1:ADELL8.ARLYN,2026-05-14,DP_RTE,19,resolved,high
PROCEDURE:DP:ADEXE1.ADEXE,PROC_PATH:PROCEDURE:DP:ADEXE1.ADEXE:BODY:ADEXE:1:,2026-05-14,DP_RTE,20,resolved,high
PROCEDURE:DP:ADIBE1.ADIBE,PROC_PATH:PROCEDURE:DP:ADIBE1.ADIBE:BODY:ADIBE:1:,2026-05-14,DP_RTE,21,resolved,high
PROCEDURE:DP:ADYOS3.ADYOS,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ABQ-ADYOS:1:,2026-05-14,DP_RTE,23,resolved,high
PROCEDURE:DP:ADYOS3.ADYOS,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:BODY:ASTAH-ADYOS:1:,2026-05-14,DP_RTE,26,resolved,high
PROCEDURE:DP:ADYOS3.ADYOS,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:GALLUP_TRANSITION:1:ADYOS3.GUP,2026-05-14,DP_RTE,30,resolved,high
PROCEDURE:DP:ADYOS3.ADYOS,PROC_PATH:PROCEDURE:DP:ADYOS3.ADYOS:TRANSITION:ZUNI_TRANSITION:1:ADYOS3.ZUN,2026-05-14,DP_RTE,33,resolved,high
PROCEDURE:DP:AEROZ2.AEROZ,PROC_PATH:PROCEDURE:DP:AEROZ2.AEROZ:BODY:AMUSE-AEROZ:1:,2026-05-14,DP_RTE,35,resolved,high
PROCEDURE:DP:AEROZ2.AEROZ,PROC_PATH:PROCEDURE:DP:AEROZ2.AEROZ:TRANSITION:SAN_ANGELO_TRANSITION:1:AEROZ2.SJT,2026-05-14,DP_RTE,37,resolved,high
PROCEDURE:DP:AEX3.AEX,PROC_PATH:PROCEDURE:DP:AEX3.AEX:BODY:RAECN-AEX:1:,2026-05-14,DP_RTE,122,resolved,high
PROCEDURE:DP:AEX3.AEX,PROC_PATH:PROCEDURE:DP:AEX3.AEX:TRANSITION:CRESTVIEW_TRANSITION:1:AEX3.CEW,2026-05-14,DP_RTE,125,resolved,high
PROCEDURE:DP:AEX3.AEX,PROC_PATH:PROCEDURE:DP:AEX3.AEX:TRANSITION:MCCOMB_TRANSITION:1:AEX3.MCB,2026-05-14,DP_RTE,127,resolved,high
PROCEDURE:DP:AFTON4.GIGSE,PROC_PATH:PROCEDURE:DP:AFTON4.GIGSE:BODY:WOLEN-GIGSE:1:,2026-05-14,DP_RTE,40,resolved,high
PROCEDURE:DP:AGERS1.AGERS,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:DREDS-AGERS:1:,2026-05-14,DP_RTE,43,resolved,high
PROCEDURE:DP:AGERS1.AGERS,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:BODY:LLBOW-AGERS:1:,2026-05-14,DP_RTE,48,resolved,high
PROCEDURE:DP:AGERS1.AGERS,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:DUCEN_TRANSITION:1:AGERS1.DUCEN,2026-05-14,DP_RTE,55,resolved,high
PROCEDURE:DP:AGERS1.AGERS,PROC_PATH:PROCEDURE:DP:AGERS1.AGERS:TRANSITION:HURGI_TRANSITION:1:AGERS1.HURGI,2026-05-14,DP_RTE,57,resolved,high
PROCEDURE:DP:AHABB1.AHABB,PROC_PATH:PROCEDURE:DP:AHABB1.AHABB:BODY:AHABB:1:,2026-05-14,DP_RTE,58,resolved,high
PROCEDURE:DP:AHC1.AHC,PROC_PATH:PROCEDURE:DP:AHC1.AHC:BODY:AHC:1:,2026-05-14,DP_RTE,209,resolved,high
