fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
TEMPLATE:PFR:ABE:ACY:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ABE:ACY:TEC:1:MAIN,2026-05-14,PFR_BASE,2,resolved,high
TEMPLATE:PFR:ABE:ALB:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ABE:ALB:TEC:1:MAIN,2026-05-14,PFR_BASE,3,resolved,high
TEMPLATE:PFR:ABE:AVP:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ABE:AVP:TEC:2:MAIN,2026-05-14,PFR_BASE,4,resolved,high
TEMPLATE:PFR:ABE:BDL:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ABE:BDL:TEC:1:MAIN,2026-05-14,PFR_BASE,5,resolved,high
TEMPLATE:PFR:ABE:BWI:TEC:3,TEMPLATE_PATH:TEMPLATE:PFR:ABE:BWI:TEC:3:MAIN,2026-05-14,PFR_BASE,6,resolved,high
TEMPLATE:PFR:ABE:DCA:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ABE:DCA:TEC:1:MAIN,2026-05-14,PFR_BASE,7,resolved,high
TEMPLATE:PFR:ABE:EWR:TEC:3,TEMPLATE_PATH:TEMPLATE:PFR:ABE:EWR:TEC:3:MAIN,2026-05-14,PFR_BASE,8,resolved,high
TEMPLATE:PFR:ABE:FRG:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ABE:FRG:TEC:1:MAIN,2026-05-14,PFR_BASE,9,resolved,high
TEMPLATE:PFR:ABE:HFD:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ABE:HFD:TEC:1:MAIN,2026-05-14,PFR_BASE,10,resolved,high
TEMPLATE:PFR:ABE:HPN:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ABE:HPN:TEC:1:MAIN,2026-05-14,PFR_BASE,11,resolved,high
TEMPLATE:PFR:ABE:HPN:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ABE:HPN:TEC:2:MAIN,2026-05-14,PFR_BASE,12,resolved,high
