fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
TEMPLATE:PFR:ABE:ACY:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,2
TEMPLATE:PFR:ABE:ALB:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,3
TEMPLATE:PFR:ABE:AVP:TEC:2,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,4
TEMPLATE:PFR:ABE:BDL:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,5
TEMPLATE:PFR:ABE:BWI:TEC:3,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,6
TEMPLATE:PFR:ABE:DCA:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,7
TEMPLATE:PFR:ABE:EWR:TEC:3,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,8
TEMPLATE:PFR:ABE:FRG:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,9
TEMPLATE:PFR:ABE:HFD:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,10
TEMPLATE:PFR:ABE:HPN:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,11
TEMPLATE:PFR:ABE:HPN:TEC:2,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,12
TEMPLATE:PFR:ABE:IAD:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,13
TEMPLATE:PFR:ABE:ILG:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,14
TEMPLATE:PFR:ABE:LNS:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,15
TEMPLATE:PFR:ABE:MDT:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,16
TEMPLATE:PFR:ABE:PHL:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,17
TEMPLATE:PFR:ABE:PHL:TEC:2,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,18
TEMPLATE:PFR:ABE:PHL:TEC:3,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,19
TEMPLATE:PFR:ABE:PIT:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,20
TEMPLATE:PFR:ABE:PNE:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,21
TEMPLATE:PFR:ABE:RDG:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,22
TEMPLATE:PFR:ABE:TEB:TEC:1,AIRPORT:ABE,ABE,ABE,airport_id,resolved,high,2026-05-14,PFR_BASE,23
TEMPLATE:PFR:ABQ:AUS:H:1,AIRPORT:ABQ,ABQ,ABQ,airport_id,resolved,high,2026-05-14,PFR_BASE,24
TEMPLATE:PFR:ABQ:HOU:H:1,AIRPORT:ABQ,ABQ,ABQ,airport_id,resolved,high,2026-05-14,PFR_BASE,25
TEMPLATE:PFR:ABQ:IAH:H:1,AIRPORT:ABQ,ABQ,ABQ,airport_id,resolved,high,2026-05-14,PFR_BASE,26
TEMPLATE:PFR:ABQ:IAH:H:2,AIRPORT:ABQ,ABQ,ABQ,airport_id,resolved,high,2026-05-14,PFR_BASE,27
TEMPLATE:PFR:ABQ:ORD:H:2,AIRPORT:ABQ,ABQ,ABQ,airport_id,resolved,high,2026-05-14,PFR_BASE,28
TEMPLATE:PFR:ACK:ACY:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,29
TEMPLATE:PFR:ACK:ACY:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,30
TEMPLATE:PFR:ACK:ALB:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,31
TEMPLATE:PFR:ACK:AUG:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,32
TEMPLATE:PFR:ACK:AUS:H:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,33
TEMPLATE:PFR:ACK:BDL:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,34
TEMPLATE:PFR:ACK:BDR:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,35
TEMPLATE:PFR:ACK:BDR:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,36
TEMPLATE:PFR:ACK:BED:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,37
TEMPLATE:PFR:ACK:BGR:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,38
TEMPLATE:PFR:ACK:BHB:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,39
TEMPLATE:PFR:ACK:BOS:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,40
